order_id,driver_id,customer_id,order_is_success,event_timestamp
100,50126,20162,0,2021-10-12 08:00:00+00:00
101,50583,20740,1,2021-10-12 08:00:30.242000+00:00
102,50556,20976,0,2021-10-12 09:01:00.483000+01:00
103,50283,20428,0,2021-10-12 01:01:30.725000-07:00
104,50565,20045,0,2021-10-12 08:02:00.966000+00:00
105,50506,20538,1,2021-10-12 08:02:31.208000+00:00
106,50350,20444,1,2021-10-12 09:03:01.449000+01:00
107,50893,20311,1,2021-10-12 01:03:31.691000-07:00
108,50331,20526,1,2021-10-12 08:04:01.932000+00:00
109,50564,20521,1,2021-10-12 08:04:32.174000+00:00
110,50717,20000,0,2021-10-12 09:05:02.415000+01:00
111,50121,20850,1,2021-10-12 01:05:32.657000-07:00
112,50542,20567,0,2021-10-12 08:06:02.898000+00:00
113,50584,20061,0,2021-10-12 08:06:33.140000+00:00
114,50461,20234,1,2021-10-12 09:07:03.381000+01:00
115,50441,20423,1,2021-10-12 01:07:33.623000-07:00
116,50312,20057,1,2021-10-12 08:08:03.864000+00:00
117,50717,20262,0,2021-10-12 08:08:34.106000+00:00
118,50322,20405,1,2021-10-12 09:09:04.347000+01:00
119,50403,20631,1,2021-10-12 01:09:34.589000-07:00
120,50719,20037,0,2021-10-12 08:10:04.830000+00:00
121,50298,20120,0,2021-10-12 08:10:35.072000+00:00
122,50231,20662,1,2021-10-12 09:11:05.313000+01:00
123,50112,20033,1,2021-10-12 01:11:35.555000-07:00
124,50387,20352,1,2021-10-12 08:12:05.796000+00:00
125,50724,20313,1,2021-10-12 08:12:36.038000+00:00
126,50960,20535,1,2021-10-12 09:13:06.279000+01:00
127,50363,20205,1,2021-10-12 01:13:36.521000-07:00
128,50791,20684,0,2021-10-12 08:14:06.762000+00:00
129,50715,20602,0,2021-10-12 08:14:37.004000+00:00
130,50539,20034,1,2021-10-12 09:15:07.245000+01:00
131,50711,20936,1,2021-10-12 01:15:37.487000-07:00
132,50797,20974,1,2021-10-12 08:16:07.728000+00:00
133,50349,20452,0,2021-10-12 08:16:37.970000+00:00
134,50756,20302,1,2021-10-12 09:17:08.211000+01:00
135,50277,20551,0,2021-10-12 01:17:38.453000-07:00
136,50460,20508,0,2021-10-12 08:18:08.694000+00:00
137,50860,20350,0,2021-10-12 08:18:38.936000+00:00
138,50059,20942,0,2021-10-12 09:19:09.177000+01:00
139,50895,20045,1,2021-10-12 01:19:39.419000-07:00
140,50408,20210,1,2021-10-12 08:20:09.660000+00:00
141,50268,20960,1,2021-10-12 08:20:39.902000+00:00
142,50255,20253,1,2021-10-12 09:21:10.144000+01:00
143,50637,20390,1,2021-10-12 01:21:40.385000-07:00
144,50939,20083,0,2021-10-12 08:22:10.627000+00:00
145,50682,20672,0,2021-10-12 08:22:40.868000+00:00
146,50278,20465,1,2021-10-12 09:23:11.110000+01:00
147,50074,20768,1,2021-10-12 01:23:41.351000-07:00
148,50212,20311,0,2021-10-12 08:24:11.593000+00:00
149,50035,20338,0,2021-10-12 08:24:41.834000+00:00
150,50219,20640,1,2021-10-12 09:25:12.076000+01:00
151,50026,20253,1,2021-10-12 01:25:42.317000-07:00
152,50589,20903,1,2021-10-12 08:26:12.559000+00:00
153,50248,20288,1,2021-10-12 08:26:42.800000+00:00
154,50876,20126,1,2021-10-12 09:27:13.042000+01:00
155,50248,20901,1,2021-10-12 01:27:43.283000-07:00
156,50761,20289,0,2021-10-12 08:28:13.525000+00:00
157,50052,20548,1,2021-10-12 08:28:43.766000+00:00
158,50342,20285,1,2021-10-12 09:29:14.008000+01:00
159,50239,20175,1,2021-10-12 01:29:44.249000-07:00
160,50280,20050,1,2021-10-12 08:30:14.491000+00:00
161,50050,20016,1,2021-10-12 08:30:44.732000+00:00
162,50306,20685,1,2021-10-12 09:31:14.974000+01:00
163,50418,20783,0,2021-10-12 01:31:45.215000-07:00
164,50552,20592,0,2021-10-12 08:32:15.457000+00:00
165,50311,20519,0,2021-10-12 08:32:45.698000+00:00
166,50994,20419,0,2021-10-12 09:33:15.940000+01:00
167,50630,20135,0,2021-10-12 01:33:46.181000-07:00
168,50004,20131,0,2021-10-12 08:34:16.423000+00:00
169,50187,20966,0,2021-10-12 08:34:46.664000+00:00
170,50983,20905,1,2021-10-12 09:35:16.906000+01:00
171,50145,20301,0,2021-10-12 01:35:47.147000-07:00
172,50692,20913,1,2021-10-12 08:36:17.389000+00:00
173,50919,20488,0,2021-10-12 08:36:47.630000+00:00
174,50750,20009,1,2021-10-12 09:37:17.872000+01:00
175,50063,20125,1,2021-10-12 01:37:48.113000-07:00
176,50294,20467,0,2021-10-12 08:38:18.355000+00:00
177,50826,20404,1,2021-10-12 08:38:48.596000+00:00
178,50526,20982,1,2021-10-12 09:39:18.838000+01:00
179,50485,20458,0,2021-10-12 01:39:49.079000-07:00
180,50532,20643,1,2021-10-12 08:40:19.321000+00:00
181,50861,20485,1,2021-10-12 08:40:49.562000+00:00
182,50538,20616,1,2021-10-12 09:41:19.804000+01:00
183,50996,20291,0,2021-10-12 01:41:50.046000-07:00
184,50516,20686,1,2021-10-12 08:42:20.287000+00:00
185,50601,20309,1,2021-10-12 08:42:50.529000+00:00
186,50703,20133,1,2021-10-12 09:43:20.770000+01:00
187,50018,20157,1,2021-10-12 01:43:51.012000-07:00
188,50804,20180,0,2021-10-12 08:44:21.253000+00:00
189,50664,20274,1,2021-10-12 08:44:51.495000+00:00
190,50422,20821,1,2021-10-12 09:45:21.736000+01:00
191,50363,20001,1,2021-10-12 01:45:51.978000-07:00
192,50514,20457,0,2021-10-12 08:46:22.219000+00:00
193,50952,20612,1,2021-10-12 08:46:52.461000+00:00
194,50606,20255,0,2021-10-12 09:47:22.702000+01:00
195,50480,20776,1,2021-10-12 01:47:52.944000-07:00
196,50726,20880,1,2021-10-12 08:48:23.185000+00:00
197,50896,20883,1,2021-10-12 08:48:53.427000+00:00
198,50248,20941,0,2021-10-12 09:49:23.668000+01:00
199,50385,20481,0,2021-10-12 01:49:53.910000-07:00
200,50274,20710,0,2021-10-12 08:50:24.151000+00:00
201,50220,20599,0,2021-10-12 08:50:54.393000+00:00
202,50659,20893,1,2021-10-12 09:51:24.634000+01:00
203,50825,20767,0,2021-10-12 01:51:54.876000-07:00
204,50622,20069,1,2021-10-12 08:52:25.117000+00:00
205,50198,20175,0,2021-10-12 08:52:55.359000+00:00
206,50651,20147,0,2021-10-12 09:53:25.600000+01:00
207,50755,20239,0,2021-10-12 01:53:55.842000-07:00
208,50821,20992,0,2021-10-12 08:54:26.083000+00:00
209,50722,20376,1,2021-10-12 08:54:56.325000+00:00
210,50333,20312,1,2021-10-12 09:55:26.566000+01:00
211,50207,20571,0,2021-10-12 01:55:56.808000-07:00
212,50306,20950,0,2021-10-12 08:56:27.049000+00:00
213,50545,20212,0,2021-10-12 08:56:57.291000+00:00
214,50249,20383,0,2021-10-12 09:57:27.532000+01:00
215,50233,20805,1,2021-10-12 01:57:57.774000-07:00
216,50453,20608,0,2021-10-12 08:58:28.015000+00:00
